company_name,csm_released_thb,ra_released_thb,expected_claims_rev_thb,iacf_recovery_thb,incurred_claims_exp_thb,iacf_amort_thb,onerous_losses_thb,net_reinsurance_thb
TLI,11637647000,1953491000,22363649000,0,16211755000,9368039000,18797000,-50397000
BLA,3762749000,311545000,5690969000,1104779000,7204078000,1104779000,21717000,-203297000
FWD,6311270000,495765000,10386287000,7015884000,11891567000,7317919000,889510000,-207768000
KRUNGTHAI AXA,6540572000,442416000,14254290000,1582527000,14405750000,1868624000,31925000,-132598000
ALLIANZ AYUDHYA,10000000000,1000000000,15000000000,1000000000,14000000000,2000000000,10000000,-500000000
BUI LIFE,2830714,4038315,50000000,6858615,55000000,2239941,0,-6684072
CHUBB LIFE,2420247640,2555373200,477388726,0,3200000000,1000000000,2813560882,-698070811
SOUTHEAST LIFE,5266543000,812876000,3000000000,0,3000000000,1576025000,0,-35901000
TOKIO MARINE,1125601937,200000000,4092683051,0,3500000000,500000000,4060041,0
THAIRE LIFE,795418000,176210000,1567377148,0,2475592792,528115000,115927000,-58891527
